Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Datetime,Hour,Day,DayOfWeek,Month,IsWeekend,Lag_1,Lag_24,RollingMean_6,RollingMean_24,Device_Total_Consumption,Device_Avg_Consumption,Device_Max_Consumption,Device_Min_Consumption
2.772,0.118,238.28,11.6,0.0,0.0,17.0,2006-12-16 18:02:00,18.0,16.0,5.0,12.0,1.0,2.624,4.054,3.2046666666666668,3.897833333333333,17.0,5.666666666666667,17.0,0.0
3.74,0.108,236.93,16.4,0.0,16.0,18.0,2006-12-16 18:03:00,18.0,16.0,5.0,12.0,1.0,2.772,3.384,3.076,3.9126666666666665,34.0,11.333333333333334,18.0,0.0
4.928,0.202,235.01,21.0,0.0,37.0,16.0,2006-12-16 18:04:00,18.0,16.0,5.0,12.0,1.0,3.74,3.27,3.221,3.98175,53.0,17.666666666666668,37.0,0.0
6.052,0.192,232.93,26.2,0.0,37.0,17.0,2006-12-16 18:05:00,18.0,16.0,5.0,12.0,1.0,4.928,3.43,3.8176666666666654,4.091,54.0,18.0,37.0,0.0
6.752,0.186,232.12,29.0,0.0,36.0,17.0,2006-12-16 18:06:00,18.0,16.0,5.0,12.0,1.0,6.052,3.266,4.478,4.23625,53.0,17.666666666666668,36.0,0.0
6.474,0.144,231.85,27.8,0.0,37.0,16.0,2006-12-16 18:07:00,18.0,16.0,5.0,12.0,1.0,6.752,3.728,5.119666666666666,4.350666666666667,53.0,17.666666666666668,37.0,0.0
6.308,0.116,232.25,27.0,0.0,36.0,17.0,2006-12-16 18:08:00,18.0,16.0,5.0,12.0,1.0,6.474,5.894,5.709,4.367916666666667,53.0,17.666666666666668,36.0,0.0
4.464,0.136,234.66,19.0,0.0,37.0,16.0,2006-12-16 18:09:00,18.0,16.0,5.0,12.0,1.0,6.308,7.706,5.829666666666667,4.232833333333333,53.0,17.666666666666668,37.0,0.0
3.396,0.148,236.2,15.0,0.0,22.0,18.0,2006-12-16 18:10:00,18.0,16.0,5.0,12.0,1.0,4.464,7.026,5.574333333333333,4.081583333333334,40.0,13.333333333333334,22.0,0.0
3.09,0.152,237.07,13.8,0.0,12.0,17.0,2006-12-16 18:11:00,18.0,16.0,5.0,12.0,1.0,3.396,5.174,5.080666666666667,3.99475,29.0,9.666666666666666,17.0,0.0
3.73,0.144,235.78,16.4,0.0,27.0,17.0,2006-12-16 18:12:00,18.0,16.0,5.0,12.0,1.0,3.09,4.474,4.577,3.963750000000001,44.0,14.666666666666666,27.0,0.0
2.308,0.16,237.43,9.6,0.0,1.0,17.0,2006-12-16 18:13:00,18.0,16.0,5.0,12.0,1.0,3.73,3.248,3.8826666666666663,3.924583333333333,18.0,6.0,17.0,0.0
2.388,0.158,237.26,10.0,0.0,1.0,17.0,2006-12-16 18:14:00,18.0,16.0,5.0,12.0,1.0,2.308,3.236,3.2293333333333334,3.88925,18.0,6.0,17.0,0.0
4.598,0.1,234.25,21.4,0.0,20.0,17.0,2006-12-16 18:15:00,18.0,16.0,5.0,12.0,1.0,2.388,3.228,3.2516666666666665,3.9463333333333335,37.0,12.333333333333334,20.0,0.0
4.524,0.076,234.2,19.6,0.0,9.0,17.0,2006-12-16 18:16:00,18.0,16.0,5.0,12.0,1.0,4.598,3.258,3.439666666666666,3.999083333333333,26.0,8.666666666666666,17.0,0.0
4.202,0.082,234.31,17.8,0.0,1.0,17.0,2006-12-16 18:17:00,18.0,16.0,5.0,12.0,1.0,4.524,3.178,3.625,4.04175,18.0,6.0,17.0,0.0
4.472,0.0,233.29,19.2,0.0,1.0,16.0,2006-12-16 18:18:00,18.0,16.0,5.0,12.0,1.0,4.202,2.72,3.748666666666667,4.11475,17.0,5.666666666666667,16.0,0.0
2.852,0.0,235.61,12.0,0.0,1.0,17.0,2006-12-16 18:19:00,18.0,16.0,5.0,12.0,1.0,4.472,3.758,3.8393333333333337,4.077,18.0,6.0,17.0,0.0
2.928,0.0,235.25,12.4,0.0,1.0,17.0,2006-12-16 18:20:00,18.0,16.0,5.0,12.0,1.0,2.852,4.342,3.9293333333333336,4.018083333333333,18.0,6.0,17.0,0.0
2.94,0.0,236.04,12.4,0.0,2.0,17.0,2006-12-16 18:21:00,18.0,16.0,5.0,12.0,1.0,2.928,4.512,3.653,3.952583333333333,19.0,6.333333333333333,17.0,0.0
2.934,0.0,235.51,12.4,0.0,1.0,17.0,2006-12-16 18:22:00,18.0,16.0,5.0,12.0,1.0,2.94,4.058,3.388,3.90575,18.0,6.0,17.0,0.0
2.926,0.0,235.68,12.4,0.0,1.0,17.0,2006-12-16 18:23:00,18.0,16.0,5.0,12.0,1.0,2.934,2.472,3.175333333333333,3.924666666666667,18.0,6.0,17.0,0.0
3.452,0.0,235.2,15.2,0.0,1.0,17.0,2006-12-16 18:24:00,18.0,16.0,5.0,12.0,1.0,2.926,2.79,3.005333333333333,3.95225,18.0,6.0,17.0,0.0
4.87,0.0,233.74,20.8,0.0,1.0,17.0,2006-12-16 18:25:00,18.0,16.0,5.0,12.0,1.0,3.452,2.624,3.341666666666667,4.045833333333333,18.0,6.0,17.0,0.0
4.868,0.0,233.84,20.8,0.0,1.0,17.0,2006-12-16 18:26:00,18.0,16.0,5.0,12.0,1.0,4.87,2.772,3.665,4.133166666666667,18.0,6.0,17.0,0.0
4.866,0.0,233.79,20.8,0.0,1.0,17.0,2006-12-16 18:27:00,18.0,16.0,5.0,12.0,1.0,4.868,3.74,3.986,4.180083333333333,18.0,6.0,17.0,0.0
3.176,0.0,235.5,13.8,0.0,1.0,17.0,2006-12-16 18:28:00,18.0,16.0,5.0,12.0,1.0,4.866,4.928,4.0263333333333335,4.107083333333334,18.0,6.0,17.0,0.0
2.92,0.0,235.84,12.4,0.0,1.0,17.0,2006-12-16 18:29:00,18.0,16.0,5.0,12.0,1.0,3.176,6.052,4.025333333333333,3.9765833333333327,18.0,6.0,17.0,0.0
2.93,0.0,236.15,12.4,0.0,1.0,17.0,2006-12-16 18:30:00,18.0,16.0,5.0,12.0,1.0,2.92,6.752,3.938333333333333,3.8173333333333335,18.0,6.0,17.0,0.0
2.912,0.05,235.81,12.4,0.0,1.0,17.0,2006-12-16 18:31:00,18.0,16.0,5.0,12.0,1.0,2.93,6.474,3.612,3.6689166666666666,18.0,6.0,17.0,0.0
2.608,0.052,235.41,11.0,0.0,1.0,17.0,2006-12-16 18:32:00,18.0,16.0,5.0,12.0,1.0,2.912,6.308,3.235333333333333,3.51475,18.0,6.0,17.0,0.0
2.714,0.162,234.82,11.6,0.0,0.0,17.0,2006-12-16 18:33:00,18.0,16.0,5.0,12.0,1.0,2.608,4.464,2.876666666666667,3.4418333333333333,17.0,5.666666666666667,17.0,0.0
3.538,0.086,233.76,15.6,0.0,1.0,16.0,2006-12-16 18:34:00,18.0,16.0,5.0,12.0,1.0,2.714,3.396,2.937,3.4477500000000005,17.0,5.666666666666667,16.0,0.0
6.072,0.0,232.48,26.4,0.0,27.0,17.0,2006-12-16 18:35:00,18.0,16.0,5.0,12.0,1.0,3.538,3.09,3.462333333333333,3.572,44.0,14.666666666666666,27.0,0.0
4.536,0.0,233.54,19.4,0.0,1.0,17.0,2006-12-16 18:36:00,18.0,16.0,5.0,12.0,1.0,6.072,3.73,3.73,3.605583333333333,18.0,6.0,17.0,0.0
4.408,0.0,232.32,18.8,0.0,1.0,16.0,2006-12-16 18:37:00,18.0,16.0,5.0,12.0,1.0,4.536,2.308,3.979333333333333,3.6930833333333335,17.0,5.666666666666667,16.0,0.0
2.912,0.048,234.02,13.0,0.0,1.0,17.0,2006-12-16 18:38:00,18.0,16.0,5.0,12.0,1.0,4.408,2.388,4.03,3.714916666666667,18.0,6.0,17.0,0.0
2.326,0.054,234.76,9.8,0.0,1.0,17.0,2006-12-16 18:39:00,18.0,16.0,5.0,12.0,1.0,2.912,4.598,3.965333333333333,3.62025,18.0,6.0,17.0,0.0
2.264,0.054,234.67,9.6,0.0,1.0,17.0,2006-12-16 18:40:00,18.0,16.0,5.0,12.0,1.0,2.326,4.524,3.753,3.5260833333333337,18.0,6.0,17.0,0.0
2.27,0.054,235.27,9.6,0.0,1.0,17.0,2006-12-16 18:41:00,18.0,16.0,5.0,12.0,1.0,2.264,4.202,3.119333333333333,3.445583333333333,18.0,6.0,17.0,0.0
2.258,0.054,235.12,9.6,0.0,1.0,17.0,2006-12-16 18:42:00,18.0,16.0,5.0,12.0,1.0,2.27,4.472,2.7396666666666665,3.353333333333333,18.0,6.0,17.0,0.0
2.188,0.068,235.8,9.2,0.0,1.0,17.0,2006-12-16 18:43:00,18.0,16.0,5.0,12.0,1.0,2.258,2.852,2.369666666666667,3.3256666666666668,18.0,6.0,17.0,0.0
2.978,0.166,234.81,13.2,0.0,1.0,17.0,2006-12-16 18:44:00,18.0,16.0,5.0,12.0,1.0,2.188,2.928,2.380666666666667,3.32775,18.0,6.0,17.0,0.0
4.2,0.174,234.38,17.8,0.0,1.0,17.0,2006-12-16 18:45:00,18.0,16.0,5.0,12.0,1.0,2.978,2.94,2.693,3.38025,18.0,6.0,17.0,0.0
4.204,0.186,234.2,17.8,0.0,1.0,16.0,2006-12-16 18:46:00,18.0,16.0,5.0,12.0,1.0,4.2,2.934,3.0163333333333333,3.4331666666666667,17.0,5.666666666666667,16.0,0.0
4.218,0.178,233.98,18.0,0.0,1.0,17.0,2006-12-16 18:47:00,18.0,16.0,5.0,12.0,1.0,4.204,2.926,3.341,3.487,18.0,6.0,17.0,0.0
2.786,0.188,234.99,12.0,0.0,2.0,17.0,2006-12-16 18:48:00,18.0,16.0,5.0,12.0,1.0,4.218,3.452,3.4290000000000003,3.4592499999999995,19.0,6.333333333333333,17.0,0.0
2.54,0.088,234.67,10.8,0.0,4.0,17.0,2006-12-16 18:49:00,18.0,16.0,5.0,12.0,1.0,2.786,4.87,3.4876666666666662,3.362166666666667,21.0,7.0,17.0,0.0
2.496,0.08,233.92,10.6,0.0,3.0,17.0,2006-12-16 18:50:00,18.0,16.0,5.0,12.0,1.0,2.54,4.868,3.4073333333333338,3.263333333333333,20.0,6.666666666666667,17.0,0.0
2.336,0.07,233.51,10.0,0.0,1.0,16.0,2006-12-16 18:51:00,18.0,16.0,5.0,12.0,1.0,2.496,4.866,3.0966666666666662,3.1579166666666665,17.0,5.666666666666667,16.0,0.0
2.322,0.0,233.44,9.8,0.0,0.0,17.0,2006-12-16 18:52:00,18.0,16.0,5.0,12.0,1.0,2.336,3.176,2.783,3.122333333333333,17.0,5.666666666666667,17.0,0.0
2.448,0.0,233.64,10.6,0.0,1.0,17.0,2006-12-16 18:53:00,18.0,16.0,5.0,12.0,1.0,2.322,2.92,2.488,3.1026666666666665,18.0,6.0,17.0,0.0
4.298,0.0,232.39,18.4,0.0,1.0,16.0,2006-12-16 18:54:00,18.0,16.0,5.0,12.0,1.0,2.448,2.93,2.74,3.1596666666666664,17.0,5.666666666666667,16.0,0.0
4.23,0.09,232.25,18.2,0.0,1.0,17.0,2006-12-16 18:55:00,18.0,16.0,5.0,12.0,1.0,4.298,2.912,3.021666666666667,3.214583333333333,18.0,6.0,17.0,0.0
4.23,0.09,232.32,18.2,0.0,2.0,16.0,2006-12-16 18:56:00,18.0,16.0,5.0,12.0,1.0,4.23,2.608,3.310666666666666,3.282166666666667,18.0,6.0,16.0,0.0
3.924,0.084,232.79,17.0,0.0,1.0,17.0,2006-12-16 18:57:00,18.0,16.0,5.0,12.0,1.0,4.23,2.714,3.575333333333333,3.332583333333333,18.0,6.0,17.0,0.0
4.218,0.09,232.09,18.0,0.0,1.0,17.0,2006-12-16 18:58:00,18.0,16.0,5.0,12.0,1.0,3.924,3.538,3.891333333333333,3.3609166666666663,18.0,6.0,17.0,0.0
4.224,0.09,231.96,18.2,0.0,1.0,16.0,2006-12-16 18:59:00,18.0,16.0,5.0,12.0,1.0,4.218,6.072,4.187333333333333,3.283916666666667,17.0,5.666666666666667,16.0,0.0
4.07,0.088,231.99,17.4,0.0,1.0,17.0,2006-12-16 19:00:00,19.0,16.0,5.0,12.0,1.0,4.224,4.536,4.149333333333334,3.2645,18.0,6.0,17.0,0.0
3.612,0.09,232.36,15.6,0.0,2.0,16.0,2006-12-16 19:01:00,19.0,16.0,5.0,12.0,1.0,4.07,4.408,4.046333333333333,3.2313333333333336,18.0,6.0,16.0,0.0
3.458,0.09,232.71,14.8,0.0,1.0,17.0,2006-12-16 19:02:00,19.0,16.0,5.0,12.0,1.0,3.612,2.912,3.917666666666667,3.254083333333333,18.0,6.0,17.0,0.0
3.434,0.09,232.01,14.8,0.0,1.0,16.0,2006-12-16 19:03:00,19.0,16.0,5.0,12.0,1.0,3.458,2.326,3.836,3.30025,17.0,5.666666666666667,16.0,0.0
3.366,0.0,232.78,14.4,0.0,1.0,17.0,2006-12-16 19:04:00,19.0,16.0,5.0,12.0,1.0,3.434,2.264,3.694,3.346166666666667,18.0,6.0,17.0,0.0
3.404,0.082,233.08,14.6,0.0,2.0,16.0,2006-12-16 19:05:00,19.0,16.0,5.0,12.0,1.0,3.366,2.27,3.5573333333333337,3.3934166666666665,18.0,6.0,16.0,0.0
3.382,0.074,233.69,14.4,0.0,0.0,17.0,2006-12-16 19:06:00,19.0,16.0,5.0,12.0,1.0,3.404,2.258,3.4426666666666663,3.4402500000000003,17.0,5.666666666666667,17.0,0.0
3.616,0.106,234.44,15.4,0.0,4.0,17.0,2006-12-16 19:07:00,19.0,16.0,5.0,12.0,1.0,3.382,2.188,3.4433333333333334,3.49975,21.0,7.0,17.0,0.0
3.476,0.092,234.6,14.8,0.0,3.0,17.0,2006-12-16 19:08:00,19.0,16.0,5.0,12.0,1.0,3.616,2.978,3.446333333333333,3.5205,20.0,6.666666666666667,17.0,0.0
3.394,0.064,235.12,14.4,0.0,0.0,17.0,2006-12-16 19:09:00,19.0,16.0,5.0,12.0,1.0,3.476,4.2,3.439666666666666,3.486916666666667,17.0,5.666666666666667,17.0,0.0
3.4,0.0,234.28,14.4,0.0,1.0,17.0,2006-12-16 19:10:00,19.0,16.0,5.0,12.0,1.0,3.394,4.204,3.4453333333333336,3.453416666666666,18.0,6.0,17.0,0.0
3.414,0.0,234.19,14.4,0.0,1.0,17.0,2006-12-16 19:11:00,19.0,16.0,5.0,12.0,1.0,3.4,4.218,3.447,3.419916666666667,18.0,6.0,17.0,0.0
3.432,0.0,234.69,14.6,0.0,1.0,16.0,2006-12-16 19:12:00,19.0,16.0,5.0,12.0,1.0,3.414,2.786,3.4553333333333334,3.4468333333333336,17.0,5.666666666666667,16.0,0.0
3.418,0.0,234.26,14.6,0.0,2.0,17.0,2006-12-16 19:13:00,19.0,16.0,5.0,12.0,1.0,3.432,2.54,3.422333333333333,3.483416666666667,19.0,6.333333333333333,17.0,0.0
3.392,0.0,233.3,14.4,0.0,1.0,17.0,2006-12-16 19:14:00,19.0,16.0,5.0,12.0,1.0,3.418,2.496,3.408333333333333,3.52075,18.0,6.0,17.0,0.0
3.394,0.0,233.43,14.4,0.0,1.0,17.0,2006-12-16 19:15:00,19.0,16.0,5.0,12.0,1.0,3.392,2.336,3.4083333333333337,3.564833333333334,18.0,6.0,17.0,0.0
3.394,0.0,233.45,14.4,0.0,1.0,16.0,2006-12-16 19:16:00,19.0,16.0,5.0,12.0,1.0,3.394,2.322,3.4073333333333333,3.6095,17.0,5.666666666666667,16.0,0.0
3.406,0.0,233.91,14.4,0.0,2.0,17.0,2006-12-16 19:17:00,19.0,16.0,5.0,12.0,1.0,3.394,2.448,3.406,3.649416666666667,19.0,6.333333333333333,17.0,0.0
3.42,0.0,234.43,14.6,0.0,1.0,17.0,2006-12-16 19:18:00,19.0,16.0,5.0,12.0,1.0,3.406,4.298,3.404,3.612833333333334,18.0,6.0,17.0,0.0
3.418,0.0,234.34,14.4,0.0,1.0,17.0,2006-12-16 19:19:00,19.0,16.0,5.0,12.0,1.0,3.42,4.23,3.404,3.579,18.0,6.0,17.0,0.0
3.422,0.052,234.58,14.6,0.0,1.0,17.0,2006-12-16 19:20:00,19.0,16.0,5.0,12.0,1.0,3.418,4.23,3.4090000000000003,3.545333333333333,18.0,6.0,17.0,0.0
3.332,0.0,234.02,14.2,0.0,1.0,16.0,2006-12-16 19:21:00,19.0,16.0,5.0,12.0,1.0,3.422,3.924,3.3986666666666667,3.520666666666667,17.0,5.666666666666667,16.0,0.0
3.316,0.046,234.29,14.0,0.0,1.0,17.0,2006-12-16 19:22:00,19.0,16.0,5.0,12.0,1.0,3.332,4.218,3.385666666666667,3.483083333333333,18.0,6.0,17.0,0.0
3.334,0.0,234.36,14.2,0.0,2.0,17.0,2006-12-16 19:23:00,19.0,16.0,5.0,12.0,1.0,3.316,4.224,3.373666666666667,3.446,19.0,6.333333333333333,17.0,0.0
3.262,0.052,232.64,14.0,0.0,0.0,17.0,2006-12-16 19:24:00,19.0,16.0,5.0,12.0,1.0,3.334,4.07,3.3473333333333333,3.412333333333333,17.0,5.666666666666667,17.0,0.0
3.476,0.064,232.96,14.8,0.0,3.0,16.0,2006-12-16 19:25:00,19.0,16.0,5.0,12.0,1.0,3.262,3.612,3.357,3.4066666666666663,19.0,6.333333333333333,16.0,0.0
3.62,0.09,233.47,15.4,0.0,5.0,17.0,2006-12-16 19:26:00,19.0,16.0,5.0,12.0,1.0,3.476,3.458,3.39,3.4134166666666665,22.0,7.333333333333333,17.0,0.0
3.61,0.084,234.98,15.2,0.0,5.0,17.0,2006-12-16 19:27:00,19.0,16.0,5.0,12.0,1.0,3.62,3.434,3.436333333333333,3.42075,22.0,7.333333333333333,17.0,0.0
3.646,0.138,234.34,15.4,0.0,5.0,17.0,2006-12-16 19:28:00,19.0,16.0,5.0,12.0,1.0,3.61,3.366,3.4913333333333334,3.4324166666666667,22.0,7.333333333333333,17.0,0.0
3.614,0.192,233.92,15.4,0.0,5.0,17.0,2006-12-16 19:29:00,19.0,16.0,5.0,12.0,1.0,3.646,3.404,3.5380000000000003,3.441166666666667,22.0,7.333333333333333,17.0,0.0
3.408,0.162,233.94,14.4,0.0,2.0,16.0,2006-12-16 19:30:00,19.0,16.0,5.0,12.0,1.0,3.614,3.382,3.562333333333333,3.44225,18.0,6.0,16.0,0.0
3.388,0.134,233.72,14.4,0.0,1.0,17.0,2006-12-16 19:31:00,19.0,16.0,5.0,12.0,1.0,3.408,3.616,3.5476666666666667,3.43275,18.0,6.0,17.0,0.0
3.372,0.132,233.2,14.4,0.0,2.0,17.0,2006-12-16 19:32:00,19.0,16.0,5.0,12.0,1.0,3.388,3.476,3.506333333333333,3.4284166666666667,19.0,6.333333333333333,17.0,0.0
3.37,0.132,233.1,14.4,0.0,1.0,16.0,2006-12-16 19:33:00,19.0,16.0,5.0,12.0,1.0,3.372,3.394,3.466333333333333,3.4274166666666663,17.0,5.666666666666667,16.0,0.0
3.342,0.12,232.29,14.4,0.0,1.0,17.0,2006-12-16 19:34:00,19.0,16.0,5.0,12.0,1.0,3.37,3.4,3.415666666666666,3.4250000000000003,18.0,6.0,17.0,0.0
3.284,0.0,232.45,14.0,0.0,2.0,16.0,2006-12-16 19:35:00,19.0,16.0,5.0,12.0,1.0,3.342,3.414,3.3606666666666665,3.4195833333333336,18.0,6.0,16.0,0.0
3.276,0.0,231.97,14.0,0.0,1.0,17.0,2006-12-16 19:36:00,19.0,16.0,5.0,12.0,1.0,3.284,3.432,3.3386666666666667,3.413083333333333,18.0,6.0,17.0,0.0
3.382,0.13,232.42,14.4,0.0,2.0,17.0,2006-12-16 19:37:00,19.0,16.0,5.0,12.0,1.0,3.276,3.418,3.337666666666667,3.411583333333333,19.0,6.333333333333333,17.0,0.0
3.418,0.16,233.38,14.6,0.0,1.0,16.0,2006-12-16 19:38:00,19.0,16.0,5.0,12.0,1.0,3.382,3.392,3.345333333333333,3.4126666666666665,17.0,5.666666666666667,16.0,0.0
3.396,0.158,232.69,14.6,0.0,1.0,17.0,2006-12-16 19:39:00,19.0,16.0,5.0,12.0,1.0,3.418,3.394,3.3496666666666663,3.4127499999999995,18.0,6.0,17.0,0.0
3.406,0.158,233.2,14.6,0.0,2.0,16.0,2006-12-16 19:40:00,19.0,16.0,5.0,12.0,1.0,3.396,3.394,3.360333333333333,3.41325,18.0,6.0,16.0,0.0
3.406,0.158,233.26,14.6,0.0,1.0,17.0,2006-12-16 19:41:00,19.0,16.0,5.0,12.0,1.0,3.406,3.406,3.380666666666667,3.41325,18.0,6.0,17.0,0.0
3.392,0.156,232.84,14.4,0.0,1.0,17.0,2006-12-16 19:42:00,19.0,16.0,5.0,12.0,1.0,3.406,3.42,3.4000000000000004,3.4120833333333334,18.0,6.0,17.0,0.0
3.378,0.154,232.39,14.4,0.0,2.0,16.0,2006-12-16 19:43:00,19.0,16.0,5.0,12.0,1.0,3.392,3.418,3.3993333333333333,3.410416666666667,18.0,6.0,16.0,0.0
3.368,0.154,232.14,14.4,0.0,1.0,17.0,2006-12-16 19:44:00,19.0,16.0,5.0,12.0,1.0,3.378,3.422,3.391,3.408166666666667,18.0,6.0,17.0,0.0
3.35,0.152,231.57,14.4,0.0,1.0,16.0,2006-12-16 19:45:00,19.0,16.0,5.0,12.0,1.0,3.368,3.332,3.3833333333333333,3.4089166666666664,17.0,5.666666666666667,16.0,0.0
3.352,0.152,231.66,14.4,0.0,2.0,17.0,2006-12-16 19:46:00,19.0,16.0,5.0,12.0,1.0,3.35,3.316,3.374333333333334,3.4104166666666664,19.0,6.333333333333333,17.0,0.0
3.364,0.154,232.22,14.4,0.0,1.0,16.0,2006-12-16 19:47:00,19.0,16.0,5.0,12.0,1.0,3.352,3.334,3.367333333333333,3.411666666666667,17.0,5.666666666666667,16.0,0.0
3.38,0.156,232.81,14.4,0.0,1.0,17.0,2006-12-16 19:48:00,19.0,16.0,5.0,12.0,1.0,3.364,3.262,3.365333333333333,3.416583333333333,18.0,6.0,17.0,0.0
3.404,0.16,233.77,14.4,0.0,1.0,17.0,2006-12-16 19:49:00,19.0,16.0,5.0,12.0,1.0,3.38,3.476,3.369666666666667,3.4135833333333334,18.0,6.0,17.0,0.0
3.378,0.156,232.82,14.4,0.0,2.0,16.0,2006-12-16 19:50:00,19.0,16.0,5.0,12.0,1.0,3.404,3.62,3.3713333333333337,3.4035,18.0,6.0,16.0,0.0
3.388,0.158,233.22,14.4,0.0,1.0,17.0,2006-12-16 19:51:00,19.0,16.0,5.0,12.0,1.0,3.378,3.61,3.3776666666666664,3.39425,18.0,6.0,17.0,0.0
3.376,0.156,232.84,14.4,0.0,1.0,17.0,2006-12-16 19:52:00,19.0,16.0,5.0,12.0,1.0,3.388,3.646,3.3816666666666664,3.3830000000000005,18.0,6.0,17.0,0.0
3.254,0.0,232.75,13.8,0.0,0.0,16.0,2006-12-16 19:53:00,19.0,16.0,5.0,12.0,1.0,3.376,3.614,3.3633333333333333,3.368,16.0,5.333333333333333,16.0,0.0
3.214,0.078,232.64,13.8,0.0,0.0,17.0,2006-12-16 19:54:00,19.0,16.0,5.0,12.0,1.0,3.254,3.408,3.3356666666666666,3.3599166666666664,17.0,5.666666666666667,17.0,0.0
3.202,0.078,232.2,13.8,0.0,0.0,16.0,2006-12-16 19:55:00,19.0,16.0,5.0,12.0,1.0,3.214,3.388,3.302,3.3521666666666667,16.0,5.333333333333333,16.0,0.0
3.202,0.078,232.2,13.8,0.0,0.0,17.0,2006-12-16 19:56:00,19.0,16.0,5.0,12.0,1.0,3.202,3.372,3.2726666666666664,3.3450833333333336,17.0,5.666666666666667,17.0,0.0
3.212,0.078,232.58,13.8,0.0,0.0,16.0,2006-12-16 19:57:00,19.0,16.0,5.0,12.0,1.0,3.202,3.37,3.2433333333333336,3.3385,16.0,5.333333333333333,16.0,0.0
3.206,0.078,232.4,13.8,0.0,0.0,17.0,2006-12-16 19:58:00,19.0,16.0,5.0,12.0,1.0,3.212,3.342,3.215,3.3328333333333333,17.0,5.666666666666667,17.0,0.0
3.214,0.078,232.66,13.8,0.0,0.0,17.0,2006-12-16 19:59:00,19.0,16.0,5.0,12.0,1.0,3.206,3.284,3.208333333333333,3.329916666666666,17.0,5.666666666666667,17.0,0.0
3.206,0.078,232.43,13.8,0.0,0.0,16.0,2006-12-16 20:00:00,20.0,16.0,5.0,12.0,1.0,3.214,3.276,3.2069999999999994,3.327,16.0,5.333333333333333,16.0,0.0
3.222,0.078,233.02,13.8,0.0,0.0,17.0,2006-12-16 20:01:00,20.0,16.0,5.0,12.0,1.0,3.206,3.382,3.2103333333333333,3.3203333333333327,17.0,5.666666666666667,17.0,0.0
